"","state","puma","educ","lweekinc","exper","expersq"
"3205","Tennessee",3000,12,5.904453,26,676
"3235","Tennessee",3103,13,6.963845,15,225
"3237","Tennessee",1600,9,6.368759,43,1849
"3256","Tennessee",2300,12,6.040255,19,361
"3263","Tennessee",801,12,6.074846,29,841
"3293","Tennessee",1400,12,6.594098,22,484
"3335","Tennessee",1400,14,6.070027,13,169
"3355","Tennessee",502,13,5.952244,22,484
"3381","Tennessee",802,12,6.724664,43,1849
"3431","Tennessee",900,12,6.214608,18,324
"3494","Tennessee",1700,13,7.489111,18,324
"3529","Tennessee",2700,12,6.39693,20,400
"3546","Tennessee",502,13,6.806659,16,256
"3629","Tennessee",1700,13,6.364354,8,64
"3661","Tennessee",1700,9,4.916606,37,1369
"3676","Tennessee",3201,13,7.638643,17,289
"3696","Tennessee",1301,12,6.323807,33,1089
"3759","Tennessee",2800,12,5.664562,13,169
"3780","Tennessee",900,12,6.422247,26,676
"4155","Tennessee",2400,12,6.614932,40,1600
"4156","Tennessee",1400,14,6.052089,36,1296
"4282","Tennessee",2000,11,5.926926,22,484
"4339","Tennessee",501,12,6.214608,16,256
"4387","Tennessee",1000,12,6.1405,38,1444
"4428","Tennessee",1400,16,1.817077,21,441
"4453","Tennessee",1000,12,6.482872,39,1521
"4498","Tennessee",2700,13,6.868535,36,1296
"4536","Tennessee",1302,13,6.827713,34,1156
"4577","Tennessee",2800,12,6.175387,21,441
"4604","Tennessee",100,13,7.824046,25,625
"4664","Tennessee",1500,12,6.54003,23,529
"4665","Tennessee",1000,12,6.323807,42,1764
"4669","Tennessee",100,12,6.868535,37,1369
"4684","Tennessee",900,13,5.952244,31,961
"4697","Tennessee",3201,12,6.39693,36,1296
"4749","Tennessee",2500,12,6.511859,27,729
"4795","Tennessee",1400,13,7.053467,7,49
"4861","Tennessee",1800,16,7.561682,40,1600
"4978","Tennessee",2300,12,6.514713,39,1521
"4982","Tennessee",3201,13,6.511859,14,196
"4994","Tennessee",3000,13,6.769819,25,625
"4996","Tennessee",1200,13,6.001034,19,361
"5011","Tennessee",100,16,7.025538,41,1681
"5109","Tennessee",2400,16,6.357709,26,676
"5142","Tennessee",2300,12,1.877702,17,289
"5211","Tennessee",3201,16,4.634158,5,25
"5266","Tennessee",502,13,6.575505,43,1849
"5302","Tennessee",501,13,6.511859,11,121
"5383","Tennessee",1500,12,6.092006,10,100
"5447","Tennessee",2201,12,5.7291,25,625
"5612","Tennessee",900,12,6.013937,23,529
"5663","Tennessee",3202,16,6.848332,9,81
"5665","Tennessee",1800,13,5.846883,11,121
"5671","Tennessee",300,14,6.061098,11,121
"5672","Tennessee",100,12,6.357709,26,676
"5694","Tennessee",100,12,6.482872,31,961
"5738","Tennessee",2204,16,7.313221,17,289
"5747","Tennessee",801,12,5.69448,32,1024
"5792","Tennessee",3103,14,6.032287,13,169
"5840","Tennessee",200,12,6.670084,25,625
"5889","Tennessee",2800,12,6.645391,19,361
"5891","Tennessee",1301,12,6.632812,29,841
"5939","Tennessee",502,13,7.146166,34,1156
"5950","Tennessee",2202,13,6.761152,8,64
"5982","Tennessee",1400,9,6.199104,31,961
"5988","Tennessee",400,12,6.419117,17,289
"6009","Tennessee",3202,16,6.645391,5,25
"6012","Tennessee",1900,16,6.655341,9,81
"6040","Tennessee",2800,12,6.946976,11,121
"6080","Tennessee",600,16,6.982399,41,1681
"6172","Tennessee",502,14,7.561682,28,784
"6277","Tennessee",1301,13,6.357709,22,484
"6284","Tennessee",2700,12,6.323807,20,400
"6332","Tennessee",700,12,5.952244,13,169
"6392","Tennessee",1900,13,6.763174,13,169
"6451","Tennessee",2203,12,6.511859,10,100
"6563","Tennessee",2201,13,6.570128,33,1089
"6682","Tennessee",2500,13,6.422247,38,1444
"6802","Tennessee",700,16,6.422247,13,169
"6862","Tennessee",2900,16,7.083646,11,121
"6868","Tennessee",2300,16,7.569812,18,324
"6960","Tennessee",2202,12,6.616144,42,1764
"6987","Tennessee",600,12,5.521461,37,1369
"7007","Tennessee",2600,16,7.456321,35,1225
"7009","Tennessee",2700,12,6.288716,18,324
"7041","Tennessee",300,16,6.482872,3,9
"7052","Tennessee",1800,12,5.060646,37,1369
"7092","Tennessee",1700,12,6.367659,28,784
"7187","Tennessee",1301,13,6.092006,13,169
"7243","Tennessee",3201,16,6.357709,31,961
"7347","Tennessee",700,9,6.422247,19,361
"7399","Tennessee",1900,9,6.848332,25,625
"7435","Tennessee",700,16,6.047554,15,225
"7456","Tennessee",700,10,6.511859,42,1764
"7494","Tennessee",2201,13,6.717711,26,676
"7517","Tennessee",2203,16,6.763174,10,100
"7636","Tennessee",1900,9,6.620073,31,961
"7713","Tennessee",600,12,6.001034,32,1024
"7759","Tennessee",400,12,6.087648,26,676
"7779","Tennessee",2204,13,5.075174,12,144
"7797","Tennessee",2700,9,6.316887,22,484
"7805","Tennessee",802,12,6.706016,29,841
"7878","Tennessee",2201,9,6.448223,48,2304
"7891","Tennessee",2500,16,6.926804,14,196
"7909","Tennessee",700,12,7.082108,40,1600
"7956","Tennessee",1302,12,7.205007,41,1681
"8050","Tennessee",400,16,6.868535,33,1089
"8094","Tennessee",400,10,6.789491,23,529
"8154","Tennessee",2204,12,6.35074,12,144
"8211","Tennessee",801,12,6.191261,41,1681
"8217","Tennessee",100,16,5.952244,18,324
"8249","Tennessee",900,13,4.923624,7,49
"8302","Tennessee",2100,16,6.288716,14,196
"8387","Tennessee",200,12,6.947761,33,1089
"8477","Tennessee",3102,12,7.050856,14,196
"8501","Tennessee",502,16,5.441418,27,729
"8523","Tennessee",3202,16,6.422247,18,324
"8543","Tennessee",900,12,6.412828,38,1444
"8550","Tennessee",1000,13,5.846883,27,729
"8552","Tennessee",2100,13,6.179379,37,1369
"8604","Tennessee",3202,16,7.456321,28,784
"8608","Tennessee",2600,16,7.070274,40,1600
"8761","Tennessee",900,16,5.937397,7,49
"8784","Tennessee",600,12,6.678914,14,196
"8926","Tennessee",2700,12,8.743409,40,1600
"8961","Tennessee",1301,16,6.642888,20,400
"9028","Tennessee",200,13,6.524763,19,361
"9120","Tennessee",400,12,6.511859,12,144
"9156","Tennessee",3103,12,5.852424,8,64
"9181","Tennessee",2000,9,5.651139,13,169
"9284","Tennessee",1900,16,7.274,21,441
"9353","Tennessee",502,13,6.694181,31,961
"9357","Tennessee",1900,12,6.357709,14,196
"9406","Tennessee",3201,12,7.083646,28,784
"9462","Tennessee",2800,14,6.252348,31,961
"9589","Tennessee",100,9,3.871201,24,576
"9608","Tennessee",600,12,6.645391,21,441
"9673","Tennessee",502,12,6.422247,11,121
"9893","Tennessee",900,14,6.155185,7,49
"9969","Tennessee",1400,12,6.033824,11,121
"10077","Tennessee",1800,12,6.511859,10,100
"10181","Tennessee",3201,16,8.743409,32,1024
"10289","Tennessee",2400,14,7.15907,17,289
"10325","Tennessee",1302,12,5.270146,13,169
"10330","Tennessee",2600,12,8.277243,29,841
"10360","Tennessee",2202,13,6.963845,30,900
"10370","Tennessee",600,12,6.437752,23,529
"10391","Tennessee",2203,16,6.907755,30,900
"10399","Tennessee",3201,16,7.050856,16,256
"10421","Tennessee",2400,12,6.868535,26,676
"10434","Tennessee",2000,12,6.229876,35,1225
"10507","Tennessee",801,11,5.601504,24,576
"10618","Tennessee",2300,10,6.763174,19,361
"10754","Tennessee",3202,16,6.907755,24,576
"10846","Tennessee",900,12,6.214608,27,729
"10893","Tennessee",2700,12,6.412434,44,1936
"10913","Tennessee",1400,13,6.56743,13,169
"10979","Tennessee",1200,12,6.372324,34,1156
"11059","Tennessee",1301,13,5.846883,12,144
"11070","Tennessee",2900,10,6.54003,20,400
"11086","Tennessee",2700,12,6.645391,10,100
"11087","Tennessee",2500,16,6.470541,7,49
"11095","Tennessee",1301,14,6.694181,20,400
"11129","Tennessee",1700,16,7.099646,21,441
"11180","Tennessee",200,12,6.390499,25,625
"11303","Tennessee",2600,12,6.252348,13,169
"11335","Tennessee",100,12,6.406499,28,784
"11416","Tennessee",2000,11,6.422247,8,64
"11527","Tennessee",300,12,6.145615,20,400
"11534","Tennessee",2100,9,5.846883,24,576
"11543","Tennessee",900,11,6.252348,24,576
"11567","Tennessee",200,12,6.17138,26,676
"11728","Tennessee",1100,12,6.370954,42,1764
"11777","Tennessee",2600,14,6.511859,11,121
"11801","Tennessee",1800,12,6.763174,35,1225
"11870","Tennessee",2500,16,6.963845,24,576
"11951","Tennessee",1301,13,6.092006,20,400
"11964","Tennessee",2400,16,6.795964,29,841
"11972","Tennessee",2400,13,7.233178,28,784
"12023","Tennessee",1600,13,6.357709,7,49
"12027","Tennessee",3000,12,6.907755,24,576
"12129","Tennessee",3201,16,7.050856,8,64
"12186","Tennessee",2400,13,6.306416,9,81
"12220","Tennessee",2000,13,6.047554,42,1764
"12293","Tennessee",400,12,5.991465,26,676
"12373","Tennessee",3102,12,5.926926,45,2025
"12389","Tennessee",2700,9,7.195437,42,1764
"12409","Tennessee",100,12,6.099539,12,144
"12418","Tennessee",3202,13,6.763174,28,784
"12442","Tennessee",1900,12,6.594098,27,729
"12451","Tennessee",1302,12,6.645391,27,729
"12491","Tennessee",1302,12,6.367329,12,144
"12649","Tennessee",502,12,6.594098,23,529
"12721","Tennessee",1000,12,5.48224,10,100
"12743","Tennessee",2204,9,5.954325,42,1764
"12950","Tennessee",2204,12,5.595569,22,484
"12958","Tennessee",1900,12,6.750126,26,676
"13014","Tennessee",802,16,4.565949,33,1089
"13024","Tennessee",3103,12,6.252348,44,1936
"13028","Tennessee",1600,12,6.645391,27,729
"13051","Tennessee",1301,16,6.868535,11,121
"13207","Tennessee",2000,12,6.926804,36,1296
"13251","Tennessee",2100,11,6.214608,41,1681
"13369","Tennessee",2500,12,6.54003,23,529
"13370","Tennessee",900,14,6.134565,20,400
"13445","Tennessee",1600,12,6.864527,44,1936
"13458","Tennessee",802,12,5.809143,21,441
"13543","Tennessee",1700,13,6.233656,9,81
"13590","Tennessee",3202,16,8.743409,18,324
"13592","Tennessee",2400,12,7.190618,18,324
"13599","Tennessee",801,12,6.288716,32,1024
"13674","Tennessee",2204,12,5.863631,40,1600
"13688","Tennessee",1500,16,7.146166,39,1521
"13719","Tennessee",600,12,5.986645,12,144
"13730","Tennessee",2900,12,6.252348,34,1156
"13772","Tennessee",1900,16,7.003066,4,16
"13820","Tennessee",1000,14,6.842191,30,900
"13855","Tennessee",1800,14,5.153736,16,256
"13883","Tennessee",2203,13,6.175387,30,900
"13887","Tennessee",2100,14,5.298317,30,900
"13896","Tennessee",2500,12,5.952244,31,961
"13965","Tennessee",1200,11,5.996355,21,441
"13979","Tennessee",801,16,6.694562,25,625
"14052","Tennessee",2205,12,6.047554,40,1600
"14055","Tennessee",1500,9,6.081077,20,400
"14061","Tennessee",900,16,5.809143,30,900
"14065","Tennessee",1700,12,7.338538,36,1296
"14067","Tennessee",2400,12,6.644607,19,361
"14129","Tennessee",2700,9,4.663439,31,961
"14173","Tennessee",1700,9,6.047554,27,729
"14408","Tennessee",2400,12,6.868535,26,676
"14416","Tennessee",502,12,5.950643,17,289
"14451","Tennessee",400,16,6.868535,31,961
"14454","Tennessee",900,12,6.175387,17,289
"14460","Tennessee",300,12,6.214608,39,1521
"14509","Tennessee",2201,12,6.214608,34,1156
"14540","Tennessee",802,16,6.838033,36,1296
"14552","Tennessee",600,12,5.7291,25,625
"14590","Tennessee",100,12,6.868535,37,1369
"14648","Tennessee",3102,16,6.357709,17,289
"14669","Tennessee",1301,16,7.274,30,900
"14693","Tennessee",2000,12,5.789725,38,1444
"14697","Tennessee",1900,12,6.888337,17,289
"14738","Tennessee",1800,16,6.620073,6,36
"14747","Tennessee",3202,12,7.260577,31,961
"14773","Tennessee",1400,16,7.274,31,961
"14803","Tennessee",600,12,6.888337,29,841
"14929","Tennessee",1700,9,6.047554,13,169
"14945","Tennessee",600,12,5.664562,19,361
"14997","Tennessee",1200,13,4.422849,40,1600
"15004","Tennessee",2400,11,6.827713,22,484
"15026","Tennessee",1100,12,6.092006,24,576
"15107","Tennessee",2400,16,6.945496,36,1296
"15123","Tennessee",1800,12,6.54003,24,576
"15156","Tennessee",1400,16,6.868535,12,144
"15186","Tennessee",200,12,6.945496,28,784
"15219","Tennessee",2000,12,6.13039,33,1089
"15235","Tennessee",200,12,6.637465,10,100
"15331","Tennessee",3104,16,6.645391,5,25
"15402","Tennessee",3000,13,7.338538,33,1089
"15536","Tennessee",600,12,6.49224,22,484
"15618","Tennessee",801,16,6.570128,14,196
"15645","Tennessee",2600,12,7.050856,15,225
"15657","Tennessee",100,16,7.274,26,676
"15666","Tennessee",3201,13,7.083646,32,1024
"15695","Tennessee",2400,16,7.701444,17,289
"15745","Tennessee",2900,12,6.44694,8,64
"15844","Tennessee",1200,9,5.441418,47,2209
"15874","Tennessee",2203,14,5.825338,27,729
"15988","Tennessee",1900,11,6.645391,30,900
"15995","Tennessee",3103,16,6.827713,6,36
"16021","Tennessee",2202,12,6.55108,34,1156
"16070","Tennessee",200,12,5.664562,27,729
"16082","Tennessee",600,16,6.453019,9,81
"16103","Tennessee",600,13,7.274,35,1225
"16170","Tennessee",802,12,6.357709,25,625
"16178","Tennessee",2400,13,6.594098,15,225
"16186","Tennessee",1600,12,5.952244,26,676
"16187","Tennessee",3101,16,8.743409,40,1600
"16224","Tennessee",3201,12,8.743409,36,1296
"16244","Tennessee",2300,12,6.827713,35,1225
"16249","Tennessee",2300,12,6.733402,13,169
"16275","Tennessee",1400,9,5.846439,22,484
"16299","Tennessee",3201,13,6.981863,21,441
"16308","Tennessee",3202,13,6.926804,15,225
"16312","Tennessee",1000,12,5.846883,9,81
"16337","Tennessee",1600,11,6.50354,20,400
"16347","Tennessee",502,9,6.357709,41,1681
"16353","Tennessee",802,11,6.092006,23,529
"16380","Tennessee",3201,13,6.740701,29,841
"16381","Tennessee",3102,16,5.115996,10,100
"16452","Tennessee",2400,16,6.437752,3,9
"16510","Tennessee",1301,11,4.812809,20,400
"16548","Tennessee",2000,12,6.214608,29,841
"16587","Tennessee",2100,9,6.296846,39,1521
"16671","Tennessee",2100,16,6.694181,3,9
"16678","Tennessee",3000,13,6.645391,14,196
"16698","Tennessee",802,12,5.857933,24,576
"16707","Tennessee",1400,16,7.727196,19,361
"16716","Tennessee",502,12,6.645391,14,196
"16719","Tennessee",100,12,7.510388,14,196
"16768","Tennessee",400,12,6.422247,39,1521
"16769","Tennessee",1302,12,6.047554,26,676
"16813","Tennessee",2300,12,6.323807,24,576
"16863","Tennessee",1600,12,6.635821,33,1089
"16934","Tennessee",1700,13,6.694181,39,1521
"16964","Tennessee",1200,16,4.391596,35,1225
"17194","Tennessee",2202,12,6.393719,44,1936
"17207","Tennessee",2300,16,6.963845,14,196
"17246","Tennessee",1301,16,7.130899,28,784
"17346","Tennessee",1600,12,6.001034,9,81
"17364","Tennessee",3104,16,8.743409,28,784
"17372","Tennessee",400,12,6.001034,26,676
"17376","Tennessee",501,12,7.050856,23,529
"17387","Tennessee",2700,16,6.626718,31,961
"17426","Tennessee",100,13,6.214608,27,729
"17455","Tennessee",1200,16,6.662633,15,225
"17565","Tennessee",802,12,6.612351,23,529
"17651","Tennessee",2203,16,7.861786,28,784
"17656","Tennessee",1000,12,6.363028,31,961
"17698","Tennessee",2205,12,5.354407,41,1681
"17705","Tennessee",2100,12,6.350013,15,225
"17732","Tennessee",3201,13,6.357709,17,289
"17746","Tennessee",1301,16,6.802395,14,196
"17780","Tennessee",2100,13,5.952244,11,121
"17799","Tennessee",802,13,6.763174,8,64
"17801","Tennessee",3102,13,7.967147,21,441
"17910","Tennessee",2201,12,6.357709,11,121
"17914","Tennessee",1600,9,6.945496,25,625
"17924","Tennessee",900,10,6.562915,32,1024
"17951","Tennessee",502,12,6.694181,31,961
"18004","Tennessee",700,12,6.868535,19,361
"18014","Tennessee",802,12,5.879673,39,1521
"18156","Tennessee",3104,16,6.233656,6,36
"18329","Tennessee",900,16,6.001034,9,81
"18453","Tennessee",2800,12,6.024564,32,1024
"18595","Tennessee",801,12,6.357709,21,441
"18614","Tennessee",1100,10,6.594098,27,729
"18649","Tennessee",501,16,6.848332,27,729
"18915","Tennessee",2205,14,6.670084,14,196
"19000","Tennessee",1200,14,6.806659,10,100
"19024","Tennessee",2100,12,6.527481,22,484
"19047","Tennessee",1000,16,6.482872,21,441
"19056","Tennessee",2203,16,8.743409,35,1225
"19095","Tennessee",1600,16,7.338538,38,1444
"19106","Tennessee",801,12,6.357709,21,441
"19148","Tennessee",2100,12,7.003066,46,2116
"19260","Tennessee",1500,12,4.748271,34,1156
"19265","Tennessee",1000,16,7.050856,30,900
"19270","Tennessee",1301,16,5.697351,31,961
"19345","Tennessee",2300,12,6.175387,18,324
"19379","Tennessee",2500,12,5.996261,24,576
"19402","Tennessee",600,12,6.357709,17,289
"19448","Tennessee",1800,16,5.259097,6,36
"19504","Tennessee",1400,14,6.706016,24,576
"19560","Tennessee",900,12,6.252348,21,441
"19612","Tennessee",2300,12,6.645391,22,484
"19653","Tennessee",802,13,6.57282,36,1296
"19715","Tennessee",1800,13,6.594098,20,400
"19732","Tennessee",600,12,6.175387,9,81
"19733","Tennessee",1400,16,6.665194,8,64
"19790","Tennessee",1200,12,6.740701,26,676
"19795","Tennessee",2100,12,6.981863,26,676
"19804","Tennessee",2700,12,5.521461,14,196
"19866","Tennessee",802,16,6.406499,5,25
"19882","Tennessee",801,12,7.047517,9,81
"19884","Tennessee",3104,16,7.933245,39,1521
"19888","Tennessee",100,12,6.375876,12,144
"19922","Tennessee",2600,16,7.441054,22,484
"19930","Tennessee",3201,12,6.868535,20,400
"19955","Tennessee",300,13,6.015219,32,1024
"19980","Tennessee",1302,12,6.25543,19,361
"19997","Tennessee",1000,12,5.952244,11,121
"20017","Tennessee",1301,16,8.059361,21,441
"20037","Tennessee",2203,16,6.868535,32,1024
"20093","Tennessee",3000,12,6.121986,27,729
"20115","Tennessee",1200,12,5.703783,29,841
"20116","Tennessee",1800,12,6.827713,32,1024
"20211","Tennessee",2400,16,8.115567,8,64
"20223","Tennessee",1900,16,7.205007,23,529
"20233","Tennessee",1900,16,7.581484,29,841
"20289","Tennessee",1900,16,6.482872,16,256
"20346","Tennessee",900,12,6.047554,14,196
"20376","Tennessee",2700,13,6.827713,30,900
"20487","Tennessee",300,12,6.5976,17,289
"20502","Tennessee",2201,13,6.715384,33,1089
"20531","Tennessee",2202,14,6.134565,19,361
"20542","Tennessee",2203,14,7.352441,13,169
"20556","Tennessee",1400,10,5.651139,32,1024
"20570","Tennessee",3202,16,7.666042,35,1225
"20661","Tennessee",700,12,6.323807,27,729
"20675","Tennessee",2205,11,6.214608,24,576
"20731","Tennessee",3103,13,6.945496,26,676
"20802","Tennessee",2400,16,7.744003,17,289
"20804","Tennessee",3201,12,6.868535,29,841
"20840","Tennessee",600,12,6.763174,18,324
"20846","Tennessee",2205,16,8.09231,35,1225
"20876","Tennessee",2800,16,6.233656,5,25
"20881","Tennessee",1200,16,6.357709,25,625
"20893","Tennessee",1400,16,6.945496,20,400
"20983","Tennessee",1400,14,5.768321,22,484
"21062","Tennessee",1301,13,7.300317,14,196
"21096","Tennessee",200,10,6.288716,18,324
"21107","Tennessee",2201,12,6.357709,8,64
"21146","Tennessee",2000,13,7.176019,24,576
"21176","Tennessee",2202,13,6.175387,14,196
"21280","Tennessee",1700,10,6.194806,14,196
"21376","Tennessee",1400,14,5.942194,9,81
"21383","Tennessee",2600,9,6.092006,38,1444
"21385","Tennessee",2600,16,7.408531,34,1156
"21420","Tennessee",1700,12,6.074461,25,625
"21452","Tennessee",501,12,6.134565,42,1764
"21454","Tennessee",2700,12,6.665194,29,841
"21515","Tennessee",2201,13,5.946344,7,49
"21541","Tennessee",3103,16,5.259097,19,361
"21559","Tennessee",1400,16,6.806659,9,81
"21631","Tennessee",1100,10,6.252348,33,1089
"21666","Tennessee",1800,16,6.357709,13,169
"21672","Tennessee",2205,16,6.645391,24,576
"21675","Tennessee",1301,12,6.175387,38,1444
"21689","Tennessee",501,12,4.828314,43,1849
"21770","Tennessee",2202,12,6.712855,20,400
"21789","Tennessee",1600,12,6.594098,39,1521
"21871","Tennessee",1400,14,5.818712,32,1024
"21906","Tennessee",200,12,7.050856,39,1521
"21924","Tennessee",2202,12,6.868535,36,1296
"21925","Tennessee",1900,14,6.785153,30,900
"21936","Tennessee",200,12,5.211306,39,1521
"21973","Tennessee",2700,12,6.214608,39,1521
"22008","Tennessee",1900,14,5.976936,27,729
"22012","Tennessee",2700,13,4.565949,33,1089
"22062","Tennessee",2205,14,6.670084,20,400
"22111","Tennessee",200,12,6.357709,18,324
"22130","Tennessee",100,12,7.190618,25,625
"22134","Tennessee",2000,11,6.533062,33,1089
"22143","Tennessee",2300,12,6.868535,19,361
"22144","Tennessee",3000,16,7.641725,29,841
"22218","Tennessee",3201,12,6.740701,35,1225
"22419","Tennessee",1301,12,5.703783,16,256
"22422","Tennessee",1700,14,6.763174,22,484
"22621","Tennessee",2800,12,6.425367,19,361
"22707","Tennessee",1400,13,6.511859,29,841
"22889","Tennessee",900,12,6.047554,19,361
"23005","Tennessee",2800,13,6.563426,14,196
"23041","Tennessee",2100,13,7.050856,29,841
"23107","Tennessee",1100,11,4.907451,38,1444
"23111","Tennessee",2000,12,6.613516,9,81
"23124","Tennessee",1700,16,7.69271,36,1296
"23146","Tennessee",1900,12,7.561682,43,1849
"23170","Tennessee",1900,12,7.115395,32,1024
"23187","Tennessee",2500,16,7.967147,23,529
"23203","Tennessee",1900,16,6.806659,16,256
"23233","Tennessee",2700,16,7.023268,22,484
"23241","Tennessee",900,12,6.25543,28,784
"23278","Tennessee",1600,9,6.086775,38,1444
"23315","Tennessee",2300,16,6.001034,5,25
"23343","Tennessee",1301,12,8.743409,27,729
"23447","Tennessee",3000,12,6.357709,26,676
"23468","Tennessee",2300,16,7.130899,33,1089
"23511","Tennessee",2300,16,6.390499,5,25
"23539","Tennessee",502,12,7.122867,27,729
"23555","Tennessee",1900,12,6.963845,27,729
"23574","Tennessee",1301,16,7.115395,10,100
"23593","Tennessee",300,12,6.462069,24,576
"23626","Tennessee",3102,13,6.377127,9,81
"23633","Tennessee",802,12,6.175387,40,1600
"23683","Tennessee",501,12,5.307887,16,256
"23699","Tennessee",600,12,6.288716,38,1444
"23725","Tennessee",502,12,5.259097,30,900
"23785","Tennessee",3000,16,6.926804,12,144
"23827","Tennessee",600,12,6.001034,33,1089
"23853","Tennessee",3000,13,6.645391,16,256
"23899","Tennessee",700,13,5.259097,27,729
"23958","Tennessee",2700,12,6.5481,40,1600
"24004","Tennessee",700,12,5.634789,17,289
"24041","Tennessee",3201,13,6.452049,17,289
"24104","Tennessee",600,12,6.001034,18,324
"24180","Tennessee",801,12,6.54003,30,900
"24225","Tennessee",502,16,7.824046,16,256
"24238","Tennessee",2203,16,6.907755,16,256
"24327","Tennessee",100,10,6.437752,15,225
"24418","Tennessee",1800,16,8.762827,4,16
"24432","Tennessee",3101,16,5.664562,30,900
"24473","Tennessee",802,14,6.736145,36,1296
"24502","Tennessee",2600,12,6.981863,22,484
"24533","Tennessee",900,12,5.259097,15,225
"24740","Tennessee",3102,13,6.633318,26,676
"24758","Tennessee",300,14,6.175387,26,676
"24789","Tennessee",2300,12,6.717237,39,1521
"24850","Tennessee",3202,16,7.800699,31,961
"24926","Tennessee",2600,12,6.047554,28,784
"24959","Tennessee",502,14,7.600903,28,784
"24963","Tennessee",400,10,6.323807,45,2025
"25011","Tennessee",2400,13,7.161204,25,625
"25021","Tennessee",3201,12,7.260577,16,256
"25091","Tennessee",801,12,6.645391,19,361
"25094","Tennessee",300,16,6.868535,14,196
"25188","Tennessee",1600,12,6.868535,21,441
"25214","Tennessee",100,16,6.323807,11,121
"25249","Tennessee",400,12,6.981863,28,784
"25263","Tennessee",2202,14,6.390499,19,361
"25289","Tennessee",2000,12,6.032287,33,1089
"25304","Tennessee",3103,12,7.130899,26,676
