"","state","puma","educ","lweekinc","exper","expersq"
"9006","Oregon",900,11,6.694181,39,1521
"9079","Oregon",900,13,6.785153,26,676
"9130","Oregon",500,12,6.277944,38,1444
"9139","Oregon",1305,12,6.907755,22,484
"9279","Oregon",1102,16,7.336751,30,900
"9448","Oregon",1000,13,6.720035,35,1225
"9536","Oregon",1101,12,6.44694,39,1521
"9550","Oregon",1303,14,6.868535,31,961
"9654","Oregon",1311,16,6.288716,5,25
"9698","Oregon",702,16,5.991465,28,784
"9706","Oregon",600,12,6.214608,25,625
"9916","Oregon",702,16,6.214608,33,1089
"9996","Oregon",1303,13,6.357709,6,36
"10014","Oregon",1301,14,6.645391,30,900
"10016","Oregon",702,12,5.90095,26,676
"10052","Oregon",1102,12,6.763174,12,144
"10167","Oregon",1101,12,7.572731,32,1024
"10175","Oregon",1309,16,7.338538,14,196
"10262","Oregon",600,16,5.298317,15,225
"10277","Oregon",1303,12,5.90095,31,961
"10315","Oregon",1309,16,6.945496,10,100
"10319","Oregon",500,11,5.991465,21,441
"10425","Oregon",600,16,7.083646,15,225
"10452","Oregon",1102,12,7.433848,33,1089
"10498","Oregon",1000,12,4.565949,16,256
"10563","Oregon",300,12,8.006368,19,361
"10617","Oregon",1308,12,6.972294,17,289
"10811","Oregon",1305,12,6.763174,14,196
"10837","Oregon",900,14,6.175387,27,729
"10854","Oregon",100,13,6.594098,33,1089
"10878","Oregon",1312,12,7.286192,13,169
"10920","Oregon",1101,13,6.645391,25,625
"11277","Oregon",1310,16,6.785153,9,81
"11317","Oregon",1305,16,6.461468,29,841
"11318","Oregon",1302,12,6.476973,22,484
"11341","Oregon",1102,16,5.743392,30,900
"11385","Oregon",1305,13,7.233178,25,625
"11407","Oregon",702,13,7.872836,26,676
"11434","Oregon",1101,12,5.50223,14,196
"11576","Oregon",1200,16,6.694181,24,576
"11762","Oregon",900,12,8.006368,22,484
"12037","Oregon",1305,14,6.566829,5,25
"12182","Oregon",1302,13,6.726971,11,121
"12300","Oregon",1309,13,6.175387,29,841
"12331","Oregon",600,12,6.113512,42,1764
"12419","Oregon",1200,14,7.083646,25,625
"12690","Oregon",1310,13,7.338538,16,256
"12718","Oregon",100,12,6.54003,37,1369
"12793","Oregon",1309,16,7.274,16,256
"12874","Oregon",800,11,4.902421,10,100
"12974","Oregon",1200,12,6.926804,25,625
"13093","Oregon",702,14,6.709304,14,196
"13141","Oregon",1312,14,6.288716,25,625
"13158","Oregon",702,13,6.981863,10,100
"13202","Oregon",702,13,7.433848,24,576
"13486","Oregon",900,13,5.90095,36,1296
"13504","Oregon",1309,13,6.665194,39,1521
"13670","Oregon",200,13,7.083646,27,729
"13683","Oregon",1307,16,6.175387,27,729
"13715","Oregon",1307,12,6.54003,11,121
"13778","Oregon",1309,14,7.338538,30,900
"13862","Oregon",1311,13,6.981863,20,400
"14034","Oregon",1311,13,7.025538,8,64
"14050","Oregon",1305,14,6.092006,6,36
"14165","Oregon",1312,16,7.338538,25,625
"14214","Oregon",1000,13,6.684612,34,1156
"14246","Oregon",600,13,7.050856,30,900
"14301","Oregon",702,14,6.173786,28,784
"14333","Oregon",1311,12,6.765394,42,1764
"14341","Oregon",300,13,6.357709,40,1600
"14361","Oregon",1311,12,5.267227,21,441
"14393","Oregon",600,12,6.56743,18,324
"14458","Oregon",1303,14,6.052089,23,529
"14508","Oregon",1307,13,7.399163,25,625
"14605","Oregon",1200,12,7.205007,36,1296
"14676","Oregon",1302,13,6.316887,9,81
"14723","Oregon",1305,13,6.785153,33,1089
"14776","Oregon",100,13,6.357709,28,784
"14855","Oregon",1303,16,7.050856,29,841
"14898","Oregon",500,13,5.967133,24,576
"15044","Oregon",1313,16,5.57973,29,841
"15069","Oregon",1303,12,6.612351,18,324
"15161","Oregon",400,13,6.820744,34,1156
"15233","Oregon",1303,12,6.377127,24,576
"15263","Oregon",1306,12,6.175387,31,961
"15320","Oregon",1304,13,7.050856,32,1024
"15323","Oregon",600,16,6.694181,3,9
"15384","Oregon",1301,16,6.907755,33,1089
"15439","Oregon",701,12,5.664562,29,841
"15551","Oregon",1305,16,5.90095,33,1089
"15579","Oregon",1311,13,6.832493,14,196
"15581","Oregon",1306,12,6.816188,20,400
"15662","Oregon",701,13,6.453019,30,900
"15718","Oregon",1308,12,6.868535,20,400
"15783","Oregon",1310,14,7.467371,26,676
"15838","Oregon",702,12,5.703783,18,324
"15880","Oregon",1307,12,6.357709,30,900
"15975","Oregon",1311,16,6.763174,3,9
"15996","Oregon",600,13,7.501696,38,1444
"16028","Oregon",500,12,6.453019,12,144
"16075","Oregon",1306,10,6.092006,24,576
"16123","Oregon",500,12,6.40013,30,900
"16251","Oregon",1311,13,6.868535,22,484
"16414","Oregon",1306,14,6.134565,8,64
"16439","Oregon",600,12,5.574571,21,441
"16442","Oregon",1000,13,6.419117,28,784
"16559","Oregon",1101,12,6.694181,32,1024
"16571","Oregon",500,13,6.032287,17,289
"16628","Oregon",1305,16,6.494568,10,100
"16724","Oregon",1309,13,6.868535,24,576
"16865","Oregon",100,14,6.235228,26,676
"17027","Oregon",1102,12,6.086775,23,529
"17050","Oregon",1101,12,5.926926,42,1764
"17126","Oregon",1301,12,5.926926,23,529
"17136","Oregon",1311,12,6.482872,20,400
"17164","Oregon",1308,16,7.456321,20,400
"17356","Oregon",1309,13,6.763174,34,1156
"17442","Oregon",800,12,6.175387,16,256
"17509","Oregon",1200,12,6.843217,19,361
"17527","Oregon",701,16,6.39693,17,289
"17561","Oregon",1313,12,6.907755,34,1156
"17564","Oregon",1312,12,6.679792,27,729
"17739","Oregon",1305,16,7.016954,4,16
"17877","Oregon",900,12,6.252348,39,1521
"17982","Oregon",1200,14,6.852405,7,49
"18092","Oregon",500,13,6.252348,32,1024
"18165","Oregon",1000,13,6.175387,33,1089
"18261","Oregon",1200,16,6.645391,19,361
"18297","Oregon",1303,12,6.390499,18,324
"18317","Oregon",600,12,6.367659,14,196
"18378","Oregon",900,16,7.099646,21,441
"18386","Oregon",1309,12,7.388341,19,361
"18401","Oregon",1311,14,6.848332,36,1296
"18475","Oregon",1304,12,7.274,27,729
"18486","Oregon",1309,13,6.026556,33,1089
"18585","Oregon",400,13,6.670084,39,1521
"18593","Oregon",701,12,6.846545,34,1156
"18667","Oregon",1305,12,7.006196,16,256
"18668","Oregon",1305,12,5.664562,21,441
"18682","Oregon",500,13,7.050856,28,784
"18688","Oregon",1101,16,5.664562,35,1225
"18690","Oregon",702,13,6.511859,31,961
"18712","Oregon",1307,12,7.467371,42,1764
"18791","Oregon",200,12,6.422247,12,144
"18795","Oregon",1302,11,6.231606,25,625
"19027","Oregon",800,12,6.594098,29,841
"19064","Oregon",1308,12,5.952244,21,441
"19147","Oregon",1000,12,6.717711,29,841
"19190","Oregon",1301,16,6.963845,30,900
"19251","Oregon",900,11,7.661527,29,841
"19364","Oregon",1303,12,6.214608,21,441
"19464","Oregon",1306,13,6.814665,28,784
"19582","Oregon",1307,16,7.325959,14,196
"19584","Oregon",1303,13,6.453019,12,144
"19718","Oregon",1101,13,5.664562,6,36
"19867","Oregon",1311,13,6.453019,27,729
"20098","Oregon",1310,16,6.733402,15,225
"20153","Oregon",1307,13,3.555348,34,1156
"20178","Oregon",702,14,7.433848,15,225
"20196","Oregon",1301,16,7.205007,10,100
"20311","Oregon",400,12,7.099646,11,121
"20366","Oregon",800,11,6.763174,15,225
"20500","Oregon",500,12,6.511859,41,1681
"20582","Oregon",600,16,6.827713,18,324
"20591","Oregon",1312,16,7.669895,10,100
"20600","Oregon",1310,16,6.806659,11,121
"20624","Oregon",100,16,7.083646,28,784
"20703","Oregon",1306,12,6.583968,21,441
"20730","Oregon",1308,13,6.453019,14,196
"20835","Oregon",900,12,6.684612,17,289
"20913","Oregon",800,12,6.982656,11,121
"20965","Oregon",900,13,6.732906,39,1521
"21066","Oregon",100,13,6.361037,39,1521
"21143","Oregon",1313,13,6.858484,9,81
"21371","Oregon",702,12,6.717711,31,961
"21384","Oregon",1313,16,7.050856,12,144
"21388","Oregon",900,9,6.459062,47,2209
"21488","Oregon",1311,12,6.368759,31,961
"21536","Oregon",600,13,5.595569,38,1444
"21838","Oregon",100,13,6.053242,36,1296
"21923","Oregon",200,16,7.219192,35,1225
"21932","Oregon",1307,12,7.556167,43,1849
"21949","Oregon",100,12,7.176019,35,1225
"21962","Oregon",702,12,5.651726,45,2025
"21976","Oregon",600,12,6.175387,35,1225
"22093","Oregon",400,14,6.54003,33,1089
"22215","Oregon",702,16,5.413628,6,36
"22239","Oregon",701,12,6.740701,42,1764
"22347","Oregon",1000,12,6.131227,11,121
"22367","Oregon",702,16,5.646624,18,324
"22384","Oregon",1311,13,5.259097,21,441
"22430","Oregon",1302,14,6.526044,20,400
"22447","Oregon",900,13,6.001034,14,196
"22595","Oregon",200,12,6.252348,12,144
"22838","Oregon",1304,13,6.214608,11,121
"22841","Oregon",1308,12,6.159258,10,100
"22859","Oregon",1307,16,6.858484,12,144
"23009","Oregon",1306,12,6.785153,27,729
"23014","Oregon",1102,13,7.130899,15,225
"23112","Oregon",1302,12,6.482872,26,676
"23272","Oregon",1313,16,7.456321,32,1024
"23372","Oregon",1308,13,6.214608,6,36
"23391","Oregon",1304,16,6.632812,37,1369
"23422","Oregon",1102,16,7.161204,25,625
"23467","Oregon",1302,16,7.016954,15,225
"23566","Oregon",1310,12,6.390499,9,81
"23618","Oregon",1307,14,7.195437,30,900
"23642","Oregon",600,14,7.176019,27,729
"23807","Oregon",900,12,6.774224,37,1369
"23885","Oregon",1305,13,6.526044,18,324
"23888","Oregon",400,16,6.511859,20,400
"23914","Oregon",1310,16,6.39693,27,729
"23968","Oregon",1311,12,6.54003,39,1521
"24095","Oregon",1101,12,9.142463,42,1764
"24129","Oregon",1307,13,6.793466,19,361
"24153","Oregon",300,16,6.827713,32,1024
"24164","Oregon",701,12,7.003066,10,100
"24344","Oregon",1303,11,6.645391,43,1849
"24489","Oregon",400,12,6.725434,41,1681
"24576","Oregon",800,13,7.050856,38,1444
"24599","Oregon",500,12,7.338538,29,841
"24630","Oregon",1305,12,7.600903,20,400
"24799","Oregon",1101,13,7.656992,30,900
"24883","Oregon",1306,13,7.083646,24,576
"25065","Oregon",1302,16,6.868535,28,784
"25092","Oregon",500,13,6.047554,34,1156
"25160","Oregon",702,14,6.214608,23,529
"25193","Oregon",1310,13,7.541479,41,1681
"25280","Oregon",1313,16,7.050856,21,441
"25340","Oregon",1000,12,5.783825,23,529
"25392","Oregon",800,16,6.620073,35,1225
"25481","Oregon",500,12,6.756932,15,225
"25507","Oregon",1307,14,7.300317,15,225
"25514","Oregon",300,13,6.364354,33,1089
"25538","Oregon",1302,13,6.134565,19,361
"25554","Oregon",900,12,4.209274,26,676
"25577","Oregon",1302,12,6.824374,43,1849
"25902","Oregon",1311,12,6.830324,38,1444
"25941","Oregon",1313,13,6.47401,21,441
"25963","Oregon",900,12,7.108426,34,1156
"26053","Oregon",1308,13,6.074461,28,784
"26066","Oregon",1305,13,6.846289,31,961
"26078","Oregon",1000,16,7.11255,34,1156
"26155","Oregon",1200,12,5.703783,18,324
"26182","Oregon",900,16,6.946976,28,784
"26190","Oregon",800,12,6.854435,29,841
"26212","Oregon",600,16,6.465067,28,784
"26255","Oregon",1101,12,6.772024,20,400
"26297","Oregon",1200,12,6.827713,44,1936
"26300","Oregon",1303,16,6.753604,7,49
"26317","Oregon",300,16,6.480311,34,1156
"26329","Oregon",1307,12,7.050856,36,1296
"26361","Oregon",1000,12,6.511859,27,729
"26386","Oregon",1307,12,6.907755,26,676
"26539","Oregon",500,12,6.729272,12,144
"26540","Oregon",1200,14,6.422247,10,100
"26552","Oregon",1301,12,6.56743,16,256
"26588","Oregon",1000,10,6.406499,13,169
"26730","Oregon",1000,13,4.382027,24,576
"26742","Oregon",701,12,6.645391,30,900
"26750","Oregon",1311,10,6.594098,39,1521
"26758","Oregon",1200,12,5.521461,29,841
"26904","Oregon",1101,13,6.689408,45,2025
"26906","Oregon",1310,12,8.334871,44,1936
"26985","Oregon",1310,11,6.694181,36,1296
"27190","Oregon",1301,12,6.496021,40,1600
"27340","Oregon",1303,16,7.576805,13,169
"27350","Oregon",300,12,6.323807,11,121
"27352","Oregon",1310,13,5.233779,31,961
"27462","Oregon",702,16,5.7291,25,625
"27599","Oregon",1306,13,6.218447,23,529
"27687","Oregon",1000,16,5.010635,37,1369
"27779","Oregon",1311,16,6.963845,16,256
"27966","Oregon",200,13,6.785153,43,1849
"28015","Oregon",500,12,7.163689,35,1225
"28016","Oregon",1306,14,6.594098,18,324
"28106","Oregon",1304,16,7.683899,19,361
"28189","Oregon",200,11,5.703783,11,121
"28274","Oregon",1306,12,7.363231,27,729
"28415","Oregon",600,12,6.511621,17,289
"28451","Oregon",1312,14,6.694181,18,324
"28495","Oregon",600,14,6.54003,28,784
"28501","Oregon",1302,12,7.600903,40,1600
"28524","Oregon",300,13,6.684612,17,289
"28844","Oregon",800,16,6.500365,14,196
"29053","Oregon",1313,13,6.645391,12,144
"29109","Oregon",800,13,6.868535,11,121
"29151","Oregon",600,12,6.357986,30,900
"29167","Oregon",400,14,6.820744,24,576
"29170","Oregon",900,12,6.368759,19,361
"29311","Oregon",1310,16,7.467371,24,576
"29335","Oregon",1304,16,6.827713,31,961
"29438","Oregon",400,12,5.075174,39,1521
"29445","Oregon",1102,11,6.981863,13,169
