"","state","puma","educ","lweekinc","exper","expersq"
"4598","Maryland",300,12,7.083646,18,324
"4683","Maryland",700,12,6.364354,12,144
"4750","Maryland",1300,12,6.645391,10,100
"4779","Maryland",200,12,6.562009,33,1089
"4857","Maryland",502,14,7.195437,43,1849
"4887","Maryland",803,10,5.818712,32,1024
"5057","Maryland",1500,12,6.868535,31,961
"5124","Maryland",501,12,7.872836,13,169
"5169","Maryland",100,12,6.429719,24,576
"5257","Maryland",1600,12,7.313221,20,400
"5304","Maryland",200,14,6.981863,44,1936
"5421","Maryland",1002,13,6.56743,17,289
"5575","Maryland",1202,13,6.981863,17,289
"5650","Maryland",901,16,7.130899,37,1369
"5703","Maryland",300,16,6.709304,27,729
"5764","Maryland",1102,16,7.410859,22,484
"5781","Maryland",1004,13,6.203002,29,841
"5785","Maryland",602,12,7.050856,36,1296
"5843","Maryland",1203,16,8.705905,21,441
"5869","Maryland",501,12,8.705905,28,784
"5901","Maryland",802,12,4.382027,34,1156
"5912","Maryland",506,12,7.375352,31,961
"5915","Maryland",1001,16,7.445148,33,1089
"5984","Maryland",1003,13,6.531662,30,900
"5986","Maryland",1001,12,6.694181,37,1369
"6037","Maryland",507,14,6.594098,25,625
"6102","Maryland",602,16,6.694181,28,784
"6131","Maryland",1204,16,7.146166,4,16
"6189","Maryland",505,10,6.594098,35,1225
"6322","Maryland",400,16,7.760532,12,144
"6409","Maryland",300,12,7.016954,32,1024
"6422","Maryland",1107,14,6.645391,30,900
"6500","Maryland",505,16,7.205007,9,81
"6509","Maryland",1300,13,7.561682,32,1024
"6567","Maryland",1203,12,8.968268,34,1156
"6572","Maryland",901,12,6.357709,13,169
"6579","Maryland",505,12,6.612351,38,1444
"6621","Maryland",1201,14,7.325959,32,1024
"6684","Maryland",502,13,6.594098,32,1024
"6807","Maryland",1002,16,7.64786,14,196
"6819","Maryland",506,11,6.645391,42,1764
"6881","Maryland",505,12,6.999563,7,49
"6904","Maryland",602,12,7.146166,11,121
"6944","Maryland",100,12,5.521461,25,625
"6955","Maryland",506,12,7.034049,44,1936
"6961","Maryland",700,12,6.357709,14,196
"6964","Maryland",504,12,6.374238,15,225
"7034","Maryland",1201,16,7.946944,28,784
"7149","Maryland",100,12,5.521461,8,64
"7223","Maryland",1004,16,8.705905,23,529
"7267","Maryland",1500,12,5.878136,12,144
"7320","Maryland",504,16,8.705905,26,676
"7502","Maryland",300,16,6.806659,6,36
"7559","Maryland",1002,16,6.868535,21,441
"7591","Maryland",1004,13,6.740701,32,1024
"7615","Maryland",700,12,6.763174,26,676
"7629","Maryland",506,16,6.313409,24,576
"7653","Maryland",602,16,5.932041,35,1225
"7694","Maryland",1201,13,6.645391,15,225
"7781","Maryland",1500,12,7.130899,31,961
"7788","Maryland",1400,13,7.050856,34,1156
"7919","Maryland",806,16,7.205007,14,196
"7951","Maryland",1300,12,6.175387,10,100
"7998","Maryland",1106,16,7.433848,14,196
"8021","Maryland",1004,16,10.37349,38,1444
"8087","Maryland",1203,12,6.868535,25,625
"8132","Maryland",1400,12,6.214608,16,256
"8144","Maryland",400,13,7.499806,26,676
"8180","Maryland",1002,12,7.467371,33,1089
"8294","Maryland",1204,12,6.645391,15,225
"8335","Maryland",901,16,5.43445,25,625
"8346","Maryland",1204,13,6.214608,18,324
"8353","Maryland",1600,14,6.134565,24,576
"8573","Maryland",1202,12,6.645391,31,961
"8734","Maryland",1001,12,7.967147,36,1296
"9002","Maryland",804,16,7.050856,26,676
"9086","Maryland",1005,16,7.561682,31,961
"9099","Maryland",1203,16,7.824046,14,196
"9101","Maryland",902,16,6.868535,12,144
"9194","Maryland",802,12,5.942674,19,361
"9246","Maryland",804,13,6.155185,15,225
"9290","Maryland",400,12,6.390499,27,729
"9299","Maryland",1001,13,7.130899,31,961
"9329","Maryland",200,10,6.649926,21,441
"9445","Maryland",504,16,7.456321,5,25
"9481","Maryland",1203,13,7.130899,32,1024
"9508","Maryland",1600,12,6.092006,13,169
"9628","Maryland",1103,16,7.600903,32,1024
"9660","Maryland",200,12,6.175387,25,625
"9704","Maryland",300,12,6.60717,26,676
"9728","Maryland",1500,12,6.740701,20,400
"9749","Maryland",1400,16,5.676195,4,16
"9836","Maryland",1202,12,6.348139,24,576
"9911","Maryland",1001,12,6.252348,46,2116
"9965","Maryland",1300,13,6.422247,11,121
"10040","Maryland",700,14,7.083646,8,64
"10139","Maryland",400,11,6.210754,41,1681
"10168","Maryland",1400,12,6.092006,9,81
"10218","Maryland",1300,12,6.320353,17,289
"10304","Maryland",806,13,6.945496,22,484
"10478","Maryland",1600,12,7.219192,37,1369
"10588","Maryland",1002,12,6.907755,38,1444
"10674","Maryland",1203,16,6.715384,30,900
"10689","Maryland",1500,12,6.868535,14,196
"10696","Maryland",1003,16,6.214608,18,324
"10853","Maryland",1101,16,6.294651,14,196
"10915","Maryland",400,12,7.189168,26,676
"10921","Maryland",602,12,6.907755,18,324
"10989","Maryland",1202,13,7.467371,35,1225
"10991","Maryland",400,13,7.205007,39,1521
"11033","Maryland",1500,12,6.670084,11,121
"11076","Maryland",1002,12,6.694181,32,1024
"11312","Maryland",1001,16,7.387328,28,784
"11449","Maryland",503,13,6.453019,25,625
"11484","Maryland",1101,13,5.926926,19,361
"11622","Maryland",1500,12,6.684612,45,2025
"11624","Maryland",1204,16,6.868535,11,121
"11631","Maryland",400,12,6.482872,17,289
"11670","Maryland",1003,16,8.705905,14,196
"11694","Maryland",100,13,6.465922,17,289
"11734","Maryland",1202,14,6.645391,26,676
"11841","Maryland",1002,16,7.499806,42,1764
"11957","Maryland",1107,16,6.511859,5,25
"12064","Maryland",300,14,6.591463,29,841
"12069","Maryland",400,16,6.926804,26,676
"12164","Maryland",506,12,7.205007,41,1681
"12174","Maryland",200,12,6.747496,30,900
"12303","Maryland",501,12,6.580853,29,841
"12337","Maryland",300,10,6.252348,43,1849
"12343","Maryland",501,12,5.952244,14,196
"12374","Maryland",300,14,6.868535,10,100
"12502","Maryland",1001,12,5.446371,31,961
"12610","Maryland",1102,16,6.422247,18,324
"12661","Maryland",501,16,6.981863,27,729
"12825","Maryland",902,16,6.511859,6,36
"12836","Maryland",300,16,7.59124,14,196
"12860","Maryland",1203,13,7.287245,18,324
"12943","Maryland",1101,12,6.422247,8,64
"13076","Maryland",1004,14,7.161204,34,1156
"13132","Maryland",1204,12,6.645391,27,729
"13240","Maryland",1105,13,6.052089,9,81
"13258","Maryland",1500,12,6.868535,23,529
"13501","Maryland",1002,9,7.083646,22,484
"13580","Maryland",902,13,7.146166,13,169
"13661","Maryland",400,16,6.694181,19,361
"13741","Maryland",1006,16,7.656992,27,729
"13754","Maryland",505,12,6.357709,13,169
"13760","Maryland",902,16,7.016954,17,289
"13770","Maryland",400,16,7.350961,41,1681
"13865","Maryland",1300,12,6.763174,30,900
"13909","Maryland",1204,12,6.698932,15,225
"13993","Maryland",901,16,6.252348,27,729
"14039","Maryland",300,12,6.763174,17,289
"14090","Maryland",602,12,6.214608,20,400
"14113","Maryland",200,12,6.113512,36,1296
"14133","Maryland",1204,16,6.645391,34,1156
"14138","Maryland",1500,13,7.300317,40,1600
"14188","Maryland",1202,12,6.471038,26,676
"14207","Maryland",602,12,6.645391,25,625
"14262","Maryland",1204,16,6.763174,17,289
"14277","Maryland",902,16,7.776793,19,361
"14470","Maryland",1201,12,7.205007,13,169
"14582","Maryland",803,13,6.453019,14,196
"14751","Maryland",200,12,6.848332,43,1849
"14876","Maryland",806,12,5.083206,11,121
"14931","Maryland",601,14,4.565949,20,400
"15024","Maryland",100,12,6.907755,40,1600
"15054","Maryland",1105,16,6.684612,15,225
"15089","Maryland",300,16,7.619951,27,729
"15241","Maryland",1004,12,5.326756,19,361
"15290","Maryland",902,12,6.963845,26,676
"15328","Maryland",1500,16,7.350961,19,361
"15355","Maryland",1102,12,6.963845,43,1849
"15366","Maryland",700,16,6.806659,22,484
"15392","Maryland",200,12,5.789725,18,324
"15495","Maryland",400,12,6.868535,33,1089
"15568","Maryland",100,13,5.886104,13,169
"15582","Maryland",1002,12,6.794426,21,441
"15589","Maryland",1001,16,7.274,17,289
"15617","Maryland",400,13,6.54003,16,256
"15629","Maryland",901,16,7.4783,31,961
"15631","Maryland",300,14,6.868535,13,169
"15688","Maryland",1400,10,6.092006,19,361
"15808","Maryland",200,12,6.511859,17,289
"15865","Maryland",1500,16,6.817241,23,529
"16043","Maryland",902,12,5.595569,13,169
"16232","Maryland",1201,12,6.907755,35,1225
"16235","Maryland",1300,16,8.745125,36,1296
"16263","Maryland",1500,12,6.844242,20,400
"16310","Maryland",400,12,7.090077,16,256
"16395","Maryland",1300,9,5.407516,49,2401
"16532","Maryland",506,12,5.441418,31,961
"16533","Maryland",1500,14,6.553824,17,289
"16550","Maryland",505,12,6.175387,45,2025
"16551","Maryland",400,13,6.19519,23,529
"16639","Maryland",1107,12,6.694181,20,400
"16640","Maryland",1500,12,6.868535,22,484
"16825","Maryland",1102,10,6.422247,13,169
"16838","Maryland",700,14,6.323807,35,1225
"16882","Maryland",1500,16,7.456321,22,484
"16891","Maryland",506,14,6.134565,20,400
"16985","Maryland",504,13,6.740701,44,1936
"16988","Maryland",1004,16,7.325959,32,1024
"17105","Maryland",1600,12,5.952244,37,1369
"17115","Maryland",200,12,6.092006,24,576
"17228","Maryland",601,12,8.705905,19,361
"17255","Maryland",806,16,5.926926,5,25
"17257","Maryland",1300,14,7.399163,21,441
"17264","Maryland",501,12,6.54003,24,576
"17371","Maryland",400,13,6.868535,22,484
"17583","Maryland",100,12,7.313221,18,324
"17616","Maryland",300,12,7.274,17,289
"17708","Maryland",602,14,5.747677,28,784
"17743","Maryland",902,16,7.260577,27,729
"17786","Maryland",506,12,6.343441,30,900
"17832","Maryland",806,12,5.153736,20,400
"17986","Maryland",1600,16,6.806659,9,81
"18118","Maryland",1002,12,7.363231,24,576
"18173","Maryland",1600,12,6.868535,18,324
"18189","Maryland",1001,13,6.357709,11,121
"18253","Maryland",1103,12,6.39693,41,1681
"18304","Maryland",1600,16,7.363231,39,1521
"18375","Maryland",1500,16,7.42242,29,841
"18385","Maryland",601,16,6.868535,30,900
"18504","Maryland",507,14,7.050856,20,400
"18522","Maryland",1006,13,7.399163,14,196
"18529","Maryland",1004,16,7.130899,9,81
"18549","Maryland",1203,16,7.083646,10,100
"18587","Maryland",504,13,6.945496,26,676
"18601","Maryland",1003,16,7.083646,29,841
"18611","Maryland",1007,16,7.034049,25,625
"18913","Maryland",1102,12,6.926804,35,1225
"18956","Maryland",902,12,7.050856,44,1936
"19019","Maryland",1600,16,6.868535,16,256
"19081","Maryland",505,12,6.121986,34,1156
"19116","Maryland",1400,14,6.092006,21,441
"19122","Maryland",602,12,7.083646,15,225
"19176","Maryland",601,12,6.279147,34,1156
"19211","Maryland",1600,12,6.926804,26,676
"19262","Maryland",501,12,6.772024,21,441
"19390","Maryland",503,16,6.483108,22,484
"19451","Maryland",1001,16,7.62934,41,1681
"19500","Maryland",901,14,8.705905,29,841
"19552","Maryland",1300,12,6.738426,35,1225
"19581","Maryland",200,12,6.54003,25,625
"19643","Maryland",601,12,6.647888,13,169
"19735","Maryland",1001,13,7.495542,11,121
"19743","Maryland",1300,14,5.7301,30,900
"19813","Maryland",601,16,8.453188,22,484
"19864","Maryland",1102,12,6.717711,20,400
"19865","Maryland",1006,16,7.456321,36,1296
"19988","Maryland",1106,12,6.459062,14,196
"20048","Maryland",200,12,8.062457,16,256
"20248","Maryland",507,9,6.740701,30,900
"20278","Maryland",1103,9,6.092006,38,1444
"20550","Maryland",1500,13,5.259097,40,1600
"20630","Maryland",601,13,6.39693,14,196
"20637","Maryland",1204,16,7.067385,20,400
"20694","Maryland",1004,16,6.963845,12,144
"20717","Maryland",1106,12,6.981863,19,361
"20790","Maryland",400,16,7.050856,21,441
"20853","Maryland",700,14,6.645391,10,100
"21002","Maryland",1201,14,6.54003,24,576
"21039","Maryland",806,10,6.357709,13,169
"21208","Maryland",802,16,6.620073,8,64
"21222","Maryland",1400,12,6.594098,39,1521
"21271","Maryland",502,16,7.115395,25,625
"21347","Maryland",601,16,6.682205,32,1024
"21369","Maryland",501,12,6.838762,33,1089
"21432","Maryland",1600,11,7.205007,46,2116
"21575","Maryland",601,14,7.083646,22,484
"21749","Maryland",1106,16,6.868535,37,1369
"21763","Maryland",1400,10,6.299373,14,196
"21896","Maryland",1300,16,7.349588,35,1225
"21945","Maryland",100,12,6.001034,25,625
"22028","Maryland",601,11,6.422247,41,1681
"22065","Maryland",1003,12,7.377759,16,256
"22177","Maryland",502,13,6.647888,14,196
"22187","Maryland",300,12,6.645391,10,100
"22327","Maryland",1005,16,6.078876,38,1444
"22456","Maryland",503,16,7.399163,27,729
"22499","Maryland",1003,16,7.768696,15,225
"22520","Maryland",506,12,6.963845,27,729
"22608","Maryland",1204,9,6.858484,41,1681
"22644","Maryland",1204,16,6.717711,8,64
"22768","Maryland",1400,12,5.952244,43,1849
"22853","Maryland",1201,14,6.827713,16,256
"22915","Maryland",901,12,6.963845,42,1764
"22925","Maryland",1004,16,8.705905,22,484
"23235","Maryland",1101,16,6.907755,9,81
"23279","Maryland",1201,12,7.090077,24,576
"23287","Maryland",300,12,6.357709,31,961
"23346","Maryland",501,16,7.940118,29,841
"23403","Maryland",507,16,6.963845,26,676
"23416","Maryland",1400,14,6.092006,35,1225
"23469","Maryland",300,14,7.161204,27,729
"23490","Maryland",1005,16,6.738426,10,100
"23551","Maryland",1004,16,7.300317,19,361
"23558","Maryland",804,10,6.187316,19,361
"23724","Maryland",1500,12,6.645391,15,225
"23730","Maryland",1101,12,6.653521,26,676
"23732","Maryland",506,12,6.868535,15,225
"23804","Maryland",1204,16,6.963845,17,289
"23815","Maryland",601,13,6.984716,13,169
"23826","Maryland",200,16,6.763174,16,256
"23851","Maryland",100,12,5.898755,8,64
"23890","Maryland",1102,13,6.645391,25,625
"23924","Maryland",1203,13,6.907755,28,784
"24011","Maryland",1005,14,7.099646,36,1296
"24025","Maryland",1203,16,5.62374,29,841
"24056","Maryland",1204,12,6.945496,37,1369
"24059","Maryland",400,12,5.852424,20,400
"24159","Maryland",1400,14,6.868535,12,144
"24280","Maryland",507,16,8.705905,21,441
"24408","Maryland",1204,13,7.130899,20,400
"24437","Maryland",1500,12,6.118097,13,169
"24471","Maryland",200,12,6.357709,14,196
"24477","Maryland",505,14,6.657814,18,324
"24487","Maryland",901,14,6.907755,21,441
"24526","Maryland",1400,12,7.161204,25,625
"24658","Maryland",200,14,6.292281,19,361
"24814","Maryland",1005,16,6.763174,16,256
"24864","Maryland",1500,16,5.952244,18,324
"25126","Maryland",803,13,6.482872,24,576
"25181","Maryland",1202,12,6.357709,18,324
"25254","Maryland",1201,14,7.205007,18,324
"25401","Maryland",505,16,7.099646,10,100
"25429","Maryland",1400,12,5.199877,39,1521
"25724","Maryland",1600,16,7.161204,22,484
"25812","Maryland",503,12,6.428478,21,441
"25850","Maryland",1204,13,6.511859,28,784
"25892","Maryland",1202,12,6.763174,32,1024
"26003","Maryland",1005,16,8.012757,10,100
"26025","Maryland",506,12,6.684612,24,576
"26054","Maryland",1004,16,7.338538,17,289
"26129","Maryland",1102,14,7.274,28,784
"26197","Maryland",400,12,6.288716,16,256
"26305","Maryland",902,12,6.717711,27,729
"26364","Maryland",601,16,7.130899,18,324
"26440","Maryland",503,14,6.342122,40,1600
"26512","Maryland",1204,16,6.963845,10,100
"26532","Maryland",507,12,6.357709,25,625
"26595","Maryland",300,12,6.888337,23,529
"26665","Maryland",1600,12,6.827713,23,529
"26693","Maryland",1201,16,6.999563,12,144
"26710","Maryland",1500,12,6.868535,21,441
"26738","Maryland",1500,12,7.161204,21,441
"26781","Maryland",300,16,6.800256,21,441
"26897","Maryland",902,16,6.868535,11,121
"26925","Maryland",1204,10,6.511859,18,324
"26963","Maryland",503,16,6.645391,16,256
"27095","Maryland",1500,16,6.390499,8,64
"27216","Maryland",1600,12,6.54003,44,1936
"27232","Maryland",1201,16,7.325959,21,441
"27348","Maryland",1103,12,6.229876,18,324
"27473","Maryland",400,12,7.21524,11,121
"27553","Maryland",505,16,7.099646,23,529
"27584","Maryland",1003,12,6.437752,41,1681
"27789","Maryland",1600,12,6.511859,11,121
"27905","Maryland",1202,12,5.981802,24,576
"27927","Maryland",805,16,6.963845,24,576
"27944","Maryland",501,12,6.645391,8,64
"28063","Maryland",1201,13,6.645391,22,484
"28091","Maryland",1204,16,5.521461,29,841
"28099","Maryland",501,12,7.287245,31,961
"28275","Maryland",1300,12,8.705905,46,2116
"28279","Maryland",501,16,7.130899,35,1225
"28299","Maryland",400,13,5.265165,27,729
"28307","Maryland",902,13,6.357709,11,121
"28339","Maryland",504,16,8.334871,30,900
"28424","Maryland",400,12,6.594098,29,841
"28438","Maryland",1204,12,6.620073,25,625
"28550","Maryland",1400,13,6.422247,15,225
"28568","Maryland",1203,13,5.505957,18,324
"28623","Maryland",502,16,6.907755,20,400
"28673","Maryland",1204,12,7.050856,28,784
"28741","Maryland",300,16,7.233178,8,64
"28765","Maryland",1203,12,6.868535,18,324
"28767","Maryland",1400,13,7.638643,29,841
"28787","Maryland",1300,16,6.868535,15,225
"28792","Maryland",902,16,7.399163,25,625
"28845","Maryland",1001,16,7.656992,24,576
"28997","Maryland",1006,16,7.300317,35,1225
"29018","Maryland",200,11,6.54003,40,1600
"29081","Maryland",1104,12,6.029205,17,289
"29100","Maryland",200,12,6.776419,9,81
"29203","Maryland",806,16,7.099646,10,100
"29243","Maryland",601,16,6.868535,14,196
"29264","Maryland",1300,12,6.655548,36,1296
"29304","Maryland",505,13,6.511859,27,729
"29321","Maryland",200,12,6.488737,20,400
"29345","Maryland",902,16,6.945496,14,196
"29362","Maryland",1104,12,6.887953,22,484
"29456","Maryland",200,14,6.704814,14,196
"29496","Maryland",504,16,6.767993,8,64
